Features: 16,,,,,,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),
"Nu: 0.05, Gamma: 0.05",95204,63,0,0,99.93387007043363,
"Nu: 0.05, Gamma: 0.0625",95204,63,0,0,99.93387007043363,
"Nu: 0.05, Gamma: 0.1",95204,63,0,0,99.93387007043363,
"Nu: 0.05, Gamma: 0.2",95204,63,0,0,99.93387007043363,
"Nu: 0.05, Gamma: 0.5",95204,63,0,0,99.93387007043363,
"Nu: 0.05, Gamma: 0.7",95204,63,0,0,99.93387007043363,
"Nu: 0.05, Gamma: 0.9",95204,63,0,0,99.93387007043363,
"Nu: 0.05, Gamma: 0.99",95204,63,0,0,99.93387007043363,
"Nu: 0.0625, Gamma: 0.05",95204,63,0,0,99.93387007043363,
"Nu: 0.0625, Gamma: 0.0625",95204,63,0,0,99.93387007043363,
"Nu: 0.0625, Gamma: 0.1",95204,63,0,0,99.93387007043363,
"Nu: 0.0625, Gamma: 0.2",95204,63,0,0,99.93387007043363,
"Nu: 0.0625, Gamma: 0.5",95204,63,0,0,99.93387007043363,
"Nu: 0.0625, Gamma: 0.7",95204,63,0,0,99.93387007043363,
"Nu: 0.0625, Gamma: 0.9",95204,63,0,0,99.93387007043363,
"Nu: 0.0625, Gamma: 0.99",95204,63,0,0,99.93387007043363,
"Nu: 0.1, Gamma: 0.05",95204,63,0,0,99.93387007043363,
"Nu: 0.1, Gamma: 0.0625",95204,63,0,0,99.93387007043363,
"Nu: 0.1, Gamma: 0.1",95204,63,0,0,99.93387007043363,
"Nu: 0.1, Gamma: 0.2",95204,63,0,0,99.93387007043363,
"Nu: 0.1, Gamma: 0.5",95204,63,0,0,99.93387007043363,
"Nu: 0.1, Gamma: 0.7",95204,63,0,0,99.93387007043363,
"Nu: 0.1, Gamma: 0.9",95204,63,0,0,99.93387007043363,
"Nu: 0.1, Gamma: 0.99",95204,63,0,0,99.93387007043363,
"Nu: 0.2, Gamma: 0.05",95204,63,0,0,99.93387007043363,
"Nu: 0.2, Gamma: 0.0625",95204,63,0,0,99.93387007043363,
"Nu: 0.2, Gamma: 0.1",95204,63,0,0,99.93387007043363,
"Nu: 0.2, Gamma: 0.2",95204,63,0,0,99.93387007043363,
"Nu: 0.2, Gamma: 0.5",95204,63,0,0,99.93387007043363,
"Nu: 0.2, Gamma: 0.7",95204,63,0,0,99.93387007043363,
"Nu: 0.2, Gamma: 0.9",95204,63,0,0,99.93387007043363,
"Nu: 0.2, Gamma: 0.99",95204,63,0,0,99.93387007043363,
"Nu: 0.5, Gamma: 0.05",95204,63,0,0,99.93387007043363,
"Nu: 0.5, Gamma: 0.0625",95204,63,0,0,99.93387007043363,
"Nu: 0.5, Gamma: 0.1",95204,63,0,0,99.93387007043363,
"Nu: 0.5, Gamma: 0.2",95204,63,0,0,99.93387007043363,
"Nu: 0.5, Gamma: 0.5",95204,63,0,0,99.93387007043363,
"Nu: 0.5, Gamma: 0.7",95204,63,0,0,99.93387007043363,
"Nu: 0.5, Gamma: 0.9",95204,63,0,0,99.93387007043363,
"Nu: 0.5, Gamma: 0.99",95204,63,0,0,99.93387007043363,
"Nu: 0.7, Gamma: 0.05",95204,63,0,0,99.93387007043363,
"Nu: 0.7, Gamma: 0.0625",95204,63,0,0,99.93387007043363,
"Nu: 0.7, Gamma: 0.1",95204,63,0,0,99.93387007043363,
"Nu: 0.7, Gamma: 0.2",95204,63,0,0,99.93387007043363,
"Nu: 0.7, Gamma: 0.5",95204,63,0,0,99.93387007043363,
"Nu: 0.7, Gamma: 0.7",95204,63,0,0,99.93387007043363,
"Nu: 0.7, Gamma: 0.9",95204,63,0,0,99.93387007043363,
"Nu: 0.7, Gamma: 0.99",95204,63,0,0,99.93387007043363,
"Nu: 0.9, Gamma: 0.05",95204,63,0,0,99.93387007043363,
"Nu: 0.9, Gamma: 0.0625",95204,63,0,0,99.93387007043363,
"Nu: 0.9, Gamma: 0.1",95204,63,0,0,99.93387007043363,
"Nu: 0.9, Gamma: 0.2",95204,63,0,0,99.93387007043363,
"Nu: 0.9, Gamma: 0.5",95204,63,0,0,99.93387007043363,
"Nu: 0.9, Gamma: 0.7",95204,63,0,0,99.93387007043363,
"Nu: 0.9, Gamma: 0.9",95204,63,0,0,99.93387007043363,
"Nu: 0.9, Gamma: 0.99",95204,63,0,0,99.93387007043363,
"Nu: 0.99, Gamma: 0.05",95204,63,0,0,99.93387007043363,
"Nu: 0.99, Gamma: 0.0625",95204,63,0,0,99.93387007043363,
"Nu: 0.99, Gamma: 0.1",95204,63,0,0,99.93387007043363,
"Nu: 0.99, Gamma: 0.2",95204,63,0,0,99.93387007043363,
"Nu: 0.99, Gamma: 0.5",95204,63,0,0,99.93387007043363,
"Nu: 0.99, Gamma: 0.7",95204,63,0,0,99.93387007043363,
"Nu: 0.99, Gamma: 0.9",95204,63,0,0,99.93387007043363,
"Nu: 0.99, Gamma: 0.99",95204,63,0,0,99.93387007043363,
,,,,,,
Target Class: bodytrack,TP,FP,FN,TN,ACC (%),
"Nu: 0.05, Gamma: 0.05",95125,71,0,0,99.92541703432917,
"Nu: 0.05, Gamma: 0.0625",95125,71,0,0,99.92541703432917,
"Nu: 0.05, Gamma: 0.1",95125,71,0,0,99.92541703432917,
"Nu: 0.05, Gamma: 0.2",94893,68,232,3,99.68486070843313,
"Nu: 0.05, Gamma: 0.5",94893,68,232,3,99.68486070843313,
"Nu: 0.05, Gamma: 0.7",94893,68,232,3,99.68486070843313,
"Nu: 0.05, Gamma: 0.9",94893,68,232,3,99.68486070843313,
"Nu: 0.05, Gamma: 0.99",94893,68,232,3,99.68486070843313,
"Nu: 0.0625, Gamma: 0.05",94893,68,232,3,99.68486070843313,
"Nu: 0.0625, Gamma: 0.0625",95125,71,0,0,99.92541703432917,
"Nu: 0.0625, Gamma: 0.1",95125,71,0,0,99.92541703432917,
"Nu: 0.0625, Gamma: 0.2",94893,68,232,3,99.68486070843313,
"Nu: 0.0625, Gamma: 0.5",94893,68,232,3,99.68486070843313,
"Nu: 0.0625, Gamma: 0.7",94893,68,232,3,99.68486070843313,
"Nu: 0.0625, Gamma: 0.9",94893,68,232,3,99.68486070843313,
"Nu: 0.0625, Gamma: 0.99",94893,68,232,3,99.68486070843313,
"Nu: 0.1, Gamma: 0.05",95125,71,0,0,99.92541703432917,
"Nu: 0.1, Gamma: 0.0625",95125,71,0,0,99.92541703432917,
"Nu: 0.1, Gamma: 0.1",95125,71,0,0,99.92541703432917,
"Nu: 0.1, Gamma: 0.2",94893,68,232,3,99.68486070843313,
"Nu: 0.1, Gamma: 0.5",94893,68,232,3,99.68486070843313,
"Nu: 0.1, Gamma: 0.7",94893,68,232,3,99.68486070843313,
"Nu: 0.1, Gamma: 0.9",95125,71,0,0,99.92541703432917,
"Nu: 0.1, Gamma: 0.99",95125,71,0,0,99.92541703432917,
"Nu: 0.2, Gamma: 0.05",95125,71,0,0,99.92541703432917,
"Nu: 0.2, Gamma: 0.0625",95125,71,0,0,99.92541703432917,
"Nu: 0.2, Gamma: 0.1",94893,68,232,3,99.68486070843313,
"Nu: 0.2, Gamma: 0.2",94893,68,232,3,99.68486070843313,
"Nu: 0.2, Gamma: 0.5",94893,68,232,3,99.68486070843313,
"Nu: 0.2, Gamma: 0.7",94893,68,232,3,99.68486070843313,
"Nu: 0.2, Gamma: 0.9",95125,71,0,0,99.92541703432917,
"Nu: 0.2, Gamma: 0.99",95125,71,0,0,99.92541703432917,
"Nu: 0.5, Gamma: 0.05",94893,68,232,3,99.68486070843313,
"Nu: 0.5, Gamma: 0.0625",94893,68,232,3,99.68486070843313,
"Nu: 0.5, Gamma: 0.1",94893,68,232,3,99.68486070843313,
"Nu: 0.5, Gamma: 0.2",94893,68,232,3,99.68486070843313,
"Nu: 0.5, Gamma: 0.5",95125,71,0,0,99.92541703432917,
"Nu: 0.5, Gamma: 0.7",94893,68,232,3,99.68486070843313,
"Nu: 0.5, Gamma: 0.9",94893,68,232,3,99.68486070843313,
"Nu: 0.5, Gamma: 0.99",94893,68,232,3,99.68486070843313,
"Nu: 0.7, Gamma: 0.05",94893,68,232,3,99.68486070843313,
"Nu: 0.7, Gamma: 0.0625",94893,68,232,3,99.68486070843313,
"Nu: 0.7, Gamma: 0.1",95125,71,0,0,99.92541703432917,
"Nu: 0.7, Gamma: 0.2",94893,68,232,3,99.68486070843313,
"Nu: 0.7, Gamma: 0.5",95125,71,0,0,99.92541703432917,
"Nu: 0.7, Gamma: 0.7",95125,71,0,0,99.92541703432917,
"Nu: 0.7, Gamma: 0.9",95125,71,0,0,99.92541703432917,
"Nu: 0.7, Gamma: 0.99",95125,71,0,0,99.92541703432917,
"Nu: 0.9, Gamma: 0.05",94893,68,232,3,99.68486070843313,
"Nu: 0.9, Gamma: 0.0625",95125,71,0,0,99.92541703432917,
"Nu: 0.9, Gamma: 0.1",94893,68,232,3,99.68486070843313,
"Nu: 0.9, Gamma: 0.2",95125,71,0,0,99.92541703432917,
"Nu: 0.9, Gamma: 0.5",94893,68,232,3,99.68486070843313,
"Nu: 0.9, Gamma: 0.7",94893,68,232,3,99.68486070843313,
"Nu: 0.9, Gamma: 0.9",94893,68,232,3,99.68486070843313,
"Nu: 0.9, Gamma: 0.99",94893,68,232,3,99.68486070843313,
"Nu: 0.99, Gamma: 0.05",95125,71,0,0,99.92541703432917,
"Nu: 0.99, Gamma: 0.0625",95125,71,0,0,99.92541703432917,
"Nu: 0.99, Gamma: 0.1",95125,71,0,0,99.92541703432917,
"Nu: 0.99, Gamma: 0.2",95125,71,0,0,99.92541703432917,
"Nu: 0.99, Gamma: 0.5",95125,71,0,0,99.92541703432917,
"Nu: 0.99, Gamma: 0.7",95125,71,0,0,99.92541703432917,
"Nu: 0.99, Gamma: 0.9",95125,71,0,0,99.92541703432917,
"Nu: 0.99, Gamma: 0.99",95125,71,0,0,99.92541703432917,
,,,,,,
Target Class: canneal,TP,FP,FN,TN,ACC (%),
"Nu: 0.05, Gamma: 0.05",93925,191,0,0,99.7970589485316,
"Nu: 0.05, Gamma: 0.0625",93709,182,216,9,99.577117599558,
"Nu: 0.05, Gamma: 0.1",93709,182,216,9,99.577117599558,
"Nu: 0.05, Gamma: 0.2",93709,182,216,9,99.577117599558,
"Nu: 0.05, Gamma: 0.5",93709,182,216,9,99.577117599558,
"Nu: 0.05, Gamma: 0.7",93709,182,216,9,99.577117599558,
"Nu: 0.05, Gamma: 0.9",93709,182,216,9,99.577117599558,
"Nu: 0.05, Gamma: 0.99",93709,182,216,9,99.577117599558,
"Nu: 0.0625, Gamma: 0.05",93709,182,216,9,99.577117599558,
"Nu: 0.0625, Gamma: 0.0625",93709,182,216,9,99.577117599558,
"Nu: 0.0625, Gamma: 0.1",93925,191,0,0,99.7970589485316,
"Nu: 0.0625, Gamma: 0.2",93709,182,216,9,99.577117599558,
"Nu: 0.0625, Gamma: 0.5",93709,182,216,9,99.577117599558,
"Nu: 0.0625, Gamma: 0.7",93709,182,216,9,99.577117599558,
"Nu: 0.0625, Gamma: 0.9",93709,182,216,9,99.577117599558,
"Nu: 0.0625, Gamma: 0.99",93709,182,216,9,99.577117599558,
"Nu: 0.1, Gamma: 0.05",93709,182,216,9,99.577117599558,
"Nu: 0.1, Gamma: 0.0625",93709,182,216,9,99.577117599558,
"Nu: 0.1, Gamma: 0.1",93709,182,216,9,99.577117599558,
"Nu: 0.1, Gamma: 0.2",93709,182,216,9,99.577117599558,
"Nu: 0.1, Gamma: 0.5",93925,191,0,0,99.7970589485316,
"Nu: 0.1, Gamma: 0.7",93925,191,0,0,99.7970589485316,
"Nu: 0.1, Gamma: 0.9",93709,182,216,9,99.577117599558,
"Nu: 0.1, Gamma: 0.99",93709,182,216,9,99.577117599558,
"Nu: 0.2, Gamma: 0.05",93925,191,0,0,99.7970589485316,
"Nu: 0.2, Gamma: 0.0625",93709,182,216,9,99.577117599558,
"Nu: 0.2, Gamma: 0.1",93925,191,0,0,99.7970589485316,
"Nu: 0.2, Gamma: 0.2",93925,191,0,0,99.7970589485316,
"Nu: 0.2, Gamma: 0.5",93925,191,0,0,99.7970589485316,
"Nu: 0.2, Gamma: 0.7",93925,191,0,0,99.7970589485316,
"Nu: 0.2, Gamma: 0.9",93709,182,216,9,99.577117599558,
"Nu: 0.2, Gamma: 0.99",93709,182,216,9,99.577117599558,
"Nu: 0.5, Gamma: 0.05",93709,182,216,9,99.577117599558,
"Nu: 0.5, Gamma: 0.0625",93925,191,0,0,99.7970589485316,
"Nu: 0.5, Gamma: 0.1",93709,182,216,9,99.577117599558,
"Nu: 0.5, Gamma: 0.2",93925,191,0,0,99.7970589485316,
"Nu: 0.5, Gamma: 0.5",93709,182,216,9,99.577117599558,
"Nu: 0.5, Gamma: 0.7",93709,182,216,9,99.577117599558,
"Nu: 0.5, Gamma: 0.9",93709,182,216,9,99.577117599558,
"Nu: 0.5, Gamma: 0.99",93709,182,216,9,99.577117599558,
"Nu: 0.7, Gamma: 0.05",93709,182,216,9,99.577117599558,
"Nu: 0.7, Gamma: 0.0625",93709,182,216,9,99.577117599558,
"Nu: 0.7, Gamma: 0.1",93925,191,0,0,99.7970589485316,
"Nu: 0.7, Gamma: 0.2",93709,182,216,9,99.577117599558,
"Nu: 0.7, Gamma: 0.5",93709,182,216,9,99.577117599558,
"Nu: 0.7, Gamma: 0.7",93925,191,0,0,99.7970589485316,
"Nu: 0.7, Gamma: 0.9",93925,191,0,0,99.7970589485316,
"Nu: 0.7, Gamma: 0.99",93925,191,0,0,99.7970589485316,
"Nu: 0.9, Gamma: 0.05",93925,191,0,0,99.7970589485316,
"Nu: 0.9, Gamma: 0.0625",93925,191,0,0,99.7970589485316,
"Nu: 0.9, Gamma: 0.1",93709,182,216,9,99.577117599558,
"Nu: 0.9, Gamma: 0.2",93709,182,216,9,99.577117599558,
"Nu: 0.9, Gamma: 0.5",93925,191,0,0,99.7970589485316,
"Nu: 0.9, Gamma: 0.7",93925,191,0,0,99.7970589485316,
"Nu: 0.9, Gamma: 0.9",93925,191,0,0,99.7970589485316,
"Nu: 0.9, Gamma: 0.99",93925,191,0,0,99.7970589485316,
"Nu: 0.99, Gamma: 0.05",93925,191,0,0,99.7970589485316,
"Nu: 0.99, Gamma: 0.0625",93925,191,0,0,99.7970589485316,
"Nu: 0.99, Gamma: 0.1",93925,191,0,0,99.7970589485316,
"Nu: 0.99, Gamma: 0.2",93925,191,0,0,99.7970589485316,
"Nu: 0.99, Gamma: 0.5",93925,191,0,0,99.7970589485316,
"Nu: 0.99, Gamma: 0.7",93925,191,0,0,99.7970589485316,
"Nu: 0.99, Gamma: 0.9",93925,191,0,0,99.7970589485316,
"Nu: 0.99, Gamma: 0.99",93925,191,0,0,99.7970589485316,
,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),
"Nu: 0.05, Gamma: 0.05",15546,494,27,7532,97.79227933387008,
"Nu: 0.05, Gamma: 0.0625",15548,521,25,7505,97.68634264163735,
"Nu: 0.05, Gamma: 0.1",15549,654,24,7372,97.12699690664859,
"Nu: 0.05, Gamma: 0.2",15556,1013,17,7013,95.63540828001187,
"Nu: 0.05, Gamma: 0.5",15562,1697,11,6329,92.76240518666046,
"Nu: 0.05, Gamma: 0.7",15565,1983,8,6043,91.56320183058604,
"Nu: 0.05, Gamma: 0.9",15566,2403,7,5623,89.78770286876563,
"Nu: 0.05, Gamma: 0.99",15566,2544,7,5482,89.19021992457307,
"Nu: 0.0625, Gamma: 0.05",15547,572,26,7454,97.46599432179329,
"Nu: 0.0625, Gamma: 0.0625",15548,590,25,7436,97.39395737107505,
"Nu: 0.0625, Gamma: 0.1",15549,697,24,7329,96.9447857960083,
"Nu: 0.0625, Gamma: 0.2",15556,1015,17,7011,95.62693334463324,
"Nu: 0.0625, Gamma: 0.5",15562,1653,11,6373,92.94885376499005,
"Nu: 0.0625, Gamma: 0.7",15565,2042,8,5984,91.31319123691681,
"Nu: 0.0625, Gamma: 0.9",15566,2265,7,5761,90.37247340989025,
"Nu: 0.0625, Gamma: 0.99",15566,2370,7,5656,89.92753930251281,
"Nu: 0.1, Gamma: 0.05",15547,837,26,7189,96.34306538412645,
"Nu: 0.1, Gamma: 0.0625",15549,856,24,7170,96.27102843340819,
"Nu: 0.1, Gamma: 0.1",15554,908,19,7118,96.07186745201068,
"Nu: 0.1, Gamma: 0.2",15556,1032,17,6994,95.554896393915,
"Nu: 0.1, Gamma: 0.5",15562,1615,11,6411,93.10987753718378,
"Nu: 0.1, Gamma: 0.7",15565,2080,8,5946,91.15216746472308,
"Nu: 0.1, Gamma: 0.9",15566,2296,7,5730,90.24111191152167,
"Nu: 0.1, Gamma: 0.99",15566,2632,7,5394,88.8173227679139,
"Nu: 0.2, Gamma: 0.05",15550,1626,23,6400,93.01241578032968,
"Nu: 0.2, Gamma: 0.0625",15552,1657,21,6369,92.88952921733971,
"Nu: 0.2, Gamma: 0.1",15556,1641,17,6385,92.9742785711259,
"Nu: 0.2, Gamma: 0.2",15561,1707,12,6319,92.71579304207805,
"Nu: 0.2, Gamma: 0.5",15564,1902,9,6124,91.90219924573076,
"Nu: 0.2, Gamma: 0.7",15565,2120,8,5906,90.98266875715073,
"Nu: 0.2, Gamma: 0.9",15566,2360,7,5666,89.9699139794059,
"Nu: 0.2, Gamma: 0.99",15566,2482,7,5544,89.45294292131022,
"Nu: 0.5, Gamma: 0.05",15559,4116,14,3910,82.49925844315436,
"Nu: 0.5, Gamma: 0.0625",15559,4291,14,3735,81.75770159752533,
"Nu: 0.5, Gamma: 0.1",15562,4179,11,3847,82.24501038179584,
"Nu: 0.5, Gamma: 0.2",15566,4027,7,3999,82.90605534132803,
"Nu: 0.5, Gamma: 0.5",15569,4240,4,3786,82.01618712657316,
"Nu: 0.5, Gamma: 0.7",15571,4066,2,3960,82.76198143989151,
"Nu: 0.5, Gamma: 0.9",15572,4338,1,3688,81.61362769608883,
"Nu: 0.5, Gamma: 0.99",15572,4635,1,3391,80.35509979236409,
"Nu: 0.7, Gamma: 0.05",15570,5664,3,2362,75.98627060468664,
"Nu: 0.7, Gamma: 0.0625",15570,5657,3,2369,76.0159328785118,
"Nu: 0.7, Gamma: 0.1",15571,5762,2,2264,75.57523623882368,
"Nu: 0.7, Gamma: 0.2",15573,5603,0,2423,76.2574685368024,
"Nu: 0.7, Gamma: 0.5",15573,5951,0,2075,74.78282978092292,
"Nu: 0.7, Gamma: 0.7",15573,5974,0,2052,74.68536802406882,
"Nu: 0.7, Gamma: 0.9",15573,5839,0,2187,75.25742616212551,
"Nu: 0.7, Gamma: 0.99",15573,5840,0,2186,75.2531886944362,
"Nu: 0.9, Gamma: 0.05",15573,7255,0,771,69.25717191406416,
"Nu: 0.9, Gamma: 0.0625",15573,7130,0,896,69.78685537522776,
"Nu: 0.9, Gamma: 0.1",15573,7491,0,535,68.25712953938726,
"Nu: 0.9, Gamma: 0.2",15573,6905,0,1121,70.74028560532226,
"Nu: 0.9, Gamma: 0.5",15573,7221,0,805,69.40124581550066,
"Nu: 0.9, Gamma: 0.7",15573,7038,0,988,70.17670240264418,
"Nu: 0.9, Gamma: 0.9",15573,7178,0,848,69.58345692614094,
"Nu: 0.9, Gamma: 0.99",15573,6876,0,1150,70.86317216831222,
"Nu: 0.99, Gamma: 0.05",15573,8026,0,0,65.99008432560701,
"Nu: 0.99, Gamma: 0.0625",15573,8026,0,0,65.99008432560701,
"Nu: 0.99, Gamma: 0.1",15573,8026,0,0,65.99008432560701,
"Nu: 0.99, Gamma: 0.2",15573,8026,0,0,65.99008432560701,
"Nu: 0.99, Gamma: 0.5",15573,8026,0,0,65.99008432560701,
"Nu: 0.99, Gamma: 0.7",15573,8026,0,0,65.99008432560701,
"Nu: 0.99, Gamma: 0.9",15573,8026,0,0,65.99008432560701,
"Nu: 0.99, Gamma: 0.99",15573,8026,0,0,65.99008432560701,
,,,,,,
Target Class: facesim,TP,FP,FN,TN,ACC (%),
"Nu: 0.05, Gamma: 0.05",95013,82,0,0,99.91377044008622,
"Nu: 0.05, Gamma: 0.0625",95013,82,0,0,99.91377044008622,
"Nu: 0.05, Gamma: 0.1",95013,82,0,0,99.91377044008622,
"Nu: 0.05, Gamma: 0.2",95013,82,0,0,99.91377044008622,
"Nu: 0.05, Gamma: 0.5",95013,82,0,0,99.91377044008622,
"Nu: 0.05, Gamma: 0.7",95013,82,0,0,99.91377044008622,
"Nu: 0.05, Gamma: 0.9",95013,82,0,0,99.91377044008622,
"Nu: 0.05, Gamma: 0.99",95013,82,0,0,99.91377044008622,
"Nu: 0.0625, Gamma: 0.05",95013,82,0,0,99.91377044008622,
"Nu: 0.0625, Gamma: 0.0625",95013,82,0,0,99.91377044008622,
"Nu: 0.0625, Gamma: 0.1",95013,82,0,0,99.91377044008622,
"Nu: 0.0625, Gamma: 0.2",95013,82,0,0,99.91377044008622,
"Nu: 0.0625, Gamma: 0.5",95013,82,0,0,99.91377044008622,
"Nu: 0.0625, Gamma: 0.7",95013,82,0,0,99.91377044008622,
"Nu: 0.0625, Gamma: 0.9",95013,82,0,0,99.91377044008622,
"Nu: 0.0625, Gamma: 0.99",95013,82,0,0,99.91377044008622,
"Nu: 0.1, Gamma: 0.05",95013,82,0,0,99.91377044008622,
"Nu: 0.1, Gamma: 0.0625",95013,82,0,0,99.91377044008622,
"Nu: 0.1, Gamma: 0.1",95013,82,0,0,99.91377044008622,
"Nu: 0.1, Gamma: 0.2",95013,82,0,0,99.91377044008622,
