Features: 16,,,,,,
"Nu: 0.7, Gamma: 0.1",95333,50,0,0,99.94757975739913,
"Nu: 0.7, Gamma: 0.2",95333,50,0,0,99.94757975739913,
"Nu: 0.7, Gamma: 0.5",95333,50,0,0,99.94757975739913,
"Nu: 0.7, Gamma: 0.7",95333,50,0,0,99.94757975739913,
"Nu: 0.7, Gamma: 0.9",95333,50,0,0,99.94757975739913,
"Nu: 0.7, Gamma: 0.99",95333,50,0,0,99.94757975739913,
"Nu: 0.9, Gamma: 0.05",95333,50,0,0,99.94757975739913,
"Nu: 0.9, Gamma: 0.0625",95333,50,0,0,99.94757975739913,
"Nu: 0.9, Gamma: 0.1",95333,50,0,0,99.94757975739913,
"Nu: 0.9, Gamma: 0.2",95333,50,0,0,99.94757975739913,
"Nu: 0.9, Gamma: 0.5",95333,50,0,0,99.94757975739913,
"Nu: 0.9, Gamma: 0.7",95333,50,0,0,99.94757975739913,
"Nu: 0.9, Gamma: 0.9",95333,50,0,0,99.94757975739913,
"Nu: 0.9, Gamma: 0.99",95333,50,0,0,99.94757975739913,
"Nu: 0.99, Gamma: 0.05",95333,50,0,0,99.94757975739913,
"Nu: 0.99, Gamma: 0.0625",95333,50,0,0,99.94757975739913,
"Nu: 0.99, Gamma: 0.1",95333,50,0,0,99.94757975739913,
"Nu: 0.99, Gamma: 0.2",95333,50,0,0,99.94757975739913,
"Nu: 0.99, Gamma: 0.5",95333,50,0,0,99.94757975739913,
"Nu: 0.99, Gamma: 0.7",95333,50,0,0,99.94757975739913,
"Nu: 0.99, Gamma: 0.9",95333,50,0,0,99.94757975739913,
"Nu: 0.99, Gamma: 0.99",95333,50,0,0,99.94757975739913,
,,,,,,
Target Class: streamcluster,TP,FP,FN,TN,ACC (%),
"Nu: 0.05, Gamma: 0.05",93349,248,0,0,99.73503424255051,
"Nu: 0.05, Gamma: 0.0625",93349,248,0,0,99.73503424255051,
"Nu: 0.05, Gamma: 0.1",93349,248,0,0,99.73503424255051,
"Nu: 0.05, Gamma: 0.2",93085,247,264,1,99.45404233041657,
"Nu: 0.05, Gamma: 0.5",93085,247,264,1,99.45404233041657,
"Nu: 0.05, Gamma: 0.7",93349,248,0,0,99.73503424255051,
"Nu: 0.05, Gamma: 0.9",93349,248,0,0,99.73503424255051,
"Nu: 0.05, Gamma: 0.99",93349,248,0,0,99.73503424255051,
"Nu: 0.0625, Gamma: 0.05",93349,248,0,0,99.73503424255051,
"Nu: 0.0625, Gamma: 0.0625",93085,247,264,1,99.45404233041657,
"Nu: 0.0625, Gamma: 0.1",93085,247,264,1,99.45404233041657,
"Nu: 0.0625, Gamma: 0.2",93085,247,264,1,99.45404233041657,
"Nu: 0.0625, Gamma: 0.5",93085,247,264,1,99.45404233041657,
"Nu: 0.0625, Gamma: 0.7",93349,248,0,0,99.73503424255051,
"Nu: 0.0625, Gamma: 0.9",93085,247,264,1,99.45404233041657,
"Nu: 0.0625, Gamma: 0.99",93085,247,264,1,99.45404233041657,
"Nu: 0.1, Gamma: 0.05",93085,247,264,1,99.45404233041657,
"Nu: 0.1, Gamma: 0.0625",93349,248,0,0,99.73503424255051,
"Nu: 0.1, Gamma: 0.1",93349,248,0,0,99.73503424255051,
"Nu: 0.1, Gamma: 0.2",93085,247,264,1,99.45404233041657,
"Nu: 0.1, Gamma: 0.5",93349,248,0,0,99.73503424255051,
"Nu: 0.1, Gamma: 0.7",93349,248,0,0,99.73503424255051,
"Nu: 0.1, Gamma: 0.9",93349,248,0,0,99.73503424255051,
"Nu: 0.1, Gamma: 0.99",93349,248,0,0,99.73503424255051,
"Nu: 0.2, Gamma: 0.05",93349,248,0,0,99.73503424255051,
"Nu: 0.2, Gamma: 0.0625",93349,248,0,0,99.73503424255051,
"Nu: 0.2, Gamma: 0.1",93085,247,264,1,99.45404233041657,
"Nu: 0.2, Gamma: 0.2",93349,248,0,0,99.73503424255051,
"Nu: 0.2, Gamma: 0.5",93349,248,0,0,99.73503424255051,
"Nu: 0.2, Gamma: 0.7",93349,248,0,0,99.73503424255051,
"Nu: 0.2, Gamma: 0.9",93349,248,0,0,99.73503424255051,
"Nu: 0.2, Gamma: 0.99",93349,248,0,0,99.73503424255051,
"Nu: 0.5, Gamma: 0.05",93085,247,264,1,99.45404233041657,
"Nu: 0.5, Gamma: 0.0625",93349,248,0,0,99.73503424255051,
"Nu: 0.5, Gamma: 0.1",93085,247,264,1,99.45404233041657,
"Nu: 0.5, Gamma: 0.2",93349,248,0,0,99.73503424255051,
"Nu: 0.5, Gamma: 0.5",93349,248,0,0,99.73503424255051,
"Nu: 0.5, Gamma: 0.7",93349,248,0,0,99.73503424255051,
"Nu: 0.5, Gamma: 0.9",93349,248,0,0,99.73503424255051,
"Nu: 0.5, Gamma: 0.99",93349,248,0,0,99.73503424255051,
"Nu: 0.7, Gamma: 0.05",93349,248,0,0,99.73503424255051,
"Nu: 0.7, Gamma: 0.0625",93349,248,0,0,99.73503424255051,
"Nu: 0.7, Gamma: 0.1",93085,247,264,1,99.45404233041657,
"Nu: 0.7, Gamma: 0.2",93349,248,0,0,99.73503424255051,
"Nu: 0.7, Gamma: 0.5",93349,248,0,0,99.73503424255051,
"Nu: 0.7, Gamma: 0.7",93349,248,0,0,99.73503424255051,
"Nu: 0.7, Gamma: 0.9",93349,248,0,0,99.73503424255051,
"Nu: 0.7, Gamma: 0.99",93349,248,0,0,99.73503424255051,
"Nu: 0.9, Gamma: 0.05",93085,247,264,1,99.45404233041657,
"Nu: 0.9, Gamma: 0.0625",93085,247,264,1,99.45404233041657,
"Nu: 0.9, Gamma: 0.1",93085,247,264,1,99.45404233041657,
"Nu: 0.9, Gamma: 0.2",93349,248,0,0,99.73503424255051,
"Nu: 0.9, Gamma: 0.5",93349,248,0,0,99.73503424255051,
"Nu: 0.9, Gamma: 0.7",93349,248,0,0,99.73503424255051,
"Nu: 0.9, Gamma: 0.9",93349,248,0,0,99.73503424255051,
"Nu: 0.9, Gamma: 0.99",93349,248,0,0,99.73503424255051,
"Nu: 0.99, Gamma: 0.05",93349,248,0,0,99.73503424255051,
"Nu: 0.99, Gamma: 0.0625",93349,248,0,0,99.73503424255051,
"Nu: 0.99, Gamma: 0.1",93085,247,264,1,99.45404233041657,
"Nu: 0.99, Gamma: 0.2",93349,248,0,0,99.73503424255051,
"Nu: 0.99, Gamma: 0.5",93085,247,264,1,99.45404233041657,
"Nu: 0.99, Gamma: 0.7",93085,247,264,1,99.45404233041657,
"Nu: 0.99, Gamma: 0.9",93085,247,264,1,99.45404233041657,
"Nu: 0.99, Gamma: 0.99",93085,247,264,1,99.45404233041657,
,,,,,,
Target Class: swaptions,TP,FP,FN,TN,ACC (%),
"Nu: 0.05, Gamma: 0.05",95317,52,0,0,99.94547494468853,
"Nu: 0.05, Gamma: 0.0625",95317,52,0,0,99.94547494468853,
"Nu: 0.05, Gamma: 0.1",95317,52,0,0,99.94547494468853,
"Nu: 0.05, Gamma: 0.2",95317,52,0,0,99.94547494468853,
"Nu: 0.05, Gamma: 0.5",95317,52,0,0,99.94547494468853,
"Nu: 0.05, Gamma: 0.7",95317,52,0,0,99.94547494468853,
"Nu: 0.05, Gamma: 0.9",95317,52,0,0,99.94547494468853,
"Nu: 0.05, Gamma: 0.99",95317,52,0,0,99.94547494468853,
"Nu: 0.0625, Gamma: 0.05",95317,52,0,0,99.94547494468853,
"Nu: 0.0625, Gamma: 0.0625",95317,52,0,0,99.94547494468853,
"Nu: 0.0625, Gamma: 0.1",95317,52,0,0,99.94547494468853,
"Nu: 0.0625, Gamma: 0.2",95317,52,0,0,99.94547494468853,
"Nu: 0.0625, Gamma: 0.5",95317,52,0,0,99.94547494468853,
"Nu: 0.0625, Gamma: 0.7",95317,52,0,0,99.94547494468853,
"Nu: 0.0625, Gamma: 0.9",95317,52,0,0,99.94547494468853,
"Nu: 0.0625, Gamma: 0.99",95317,52,0,0,99.94547494468853,
"Nu: 0.1, Gamma: 0.05",95317,52,0,0,99.94547494468853,
"Nu: 0.1, Gamma: 0.0625",95317,52,0,0,99.94547494468853,
"Nu: 0.1, Gamma: 0.1",95317,52,0,0,99.94547494468853,
"Nu: 0.1, Gamma: 0.2",95317,52,0,0,99.94547494468853,
"Nu: 0.1, Gamma: 0.5",95317,52,0,0,99.94547494468853,
"Nu: 0.1, Gamma: 0.7",95317,52,0,0,99.94547494468853,
"Nu: 0.1, Gamma: 0.9",95317,52,0,0,99.94547494468853,
"Nu: 0.1, Gamma: 0.99",95317,52,0,0,99.94547494468853,
"Nu: 0.2, Gamma: 0.05",95317,52,0,0,99.94547494468853,
"Nu: 0.2, Gamma: 0.0625",95317,52,0,0,99.94547494468853,
"Nu: 0.2, Gamma: 0.1",95317,52,0,0,99.94547494468853,
"Nu: 0.2, Gamma: 0.2",95317,52,0,0,99.94547494468853,
"Nu: 0.2, Gamma: 0.5",95317,52,0,0,99.94547494468853,
"Nu: 0.2, Gamma: 0.7",95317,52,0,0,99.94547494468853,
"Nu: 0.2, Gamma: 0.9",95317,52,0,0,99.94547494468853,
"Nu: 0.2, Gamma: 0.99",95317,52,0,0,99.94547494468853,
"Nu: 0.5, Gamma: 0.05",95317,52,0,0,99.94547494468853,
"Nu: 0.5, Gamma: 0.0625",95317,52,0,0,99.94547494468853,
"Nu: 0.5, Gamma: 0.1",95317,52,0,0,99.94547494468853,
"Nu: 0.5, Gamma: 0.2",95317,52,0,0,99.94547494468853,
"Nu: 0.5, Gamma: 0.5",95317,52,0,0,99.94547494468853,
"Nu: 0.5, Gamma: 0.7",95317,52,0,0,99.94547494468853,
"Nu: 0.5, Gamma: 0.9",95317,52,0,0,99.94547494468853,
"Nu: 0.5, Gamma: 0.99",95317,52,0,0,99.94547494468853,
"Nu: 0.7, Gamma: 0.05",95317,52,0,0,99.94547494468853,
"Nu: 0.7, Gamma: 0.0625",95317,52,0,0,99.94547494468853,
"Nu: 0.7, Gamma: 0.1",95317,52,0,0,99.94547494468853,
"Nu: 0.7, Gamma: 0.2",95317,52,0,0,99.94547494468853,
"Nu: 0.7, Gamma: 0.5",95317,52,0,0,99.94547494468853,
"Nu: 0.7, Gamma: 0.7",95317,52,0,0,99.94547494468853,
"Nu: 0.7, Gamma: 0.9",95317,52,0,0,99.94547494468853,
"Nu: 0.7, Gamma: 0.99",95317,52,0,0,99.94547494468853,
"Nu: 0.9, Gamma: 0.05",95317,52,0,0,99.94547494468853,
"Nu: 0.9, Gamma: 0.0625",95317,52,0,0,99.94547494468853,
"Nu: 0.9, Gamma: 0.1",95317,52,0,0,99.94547494468853,
"Nu: 0.9, Gamma: 0.2",95317,52,0,0,99.94547494468853,
"Nu: 0.9, Gamma: 0.5",95317,52,0,0,99.94547494468853,
"Nu: 0.9, Gamma: 0.7",95317,52,0,0,99.94547494468853,
"Nu: 0.9, Gamma: 0.9",95317,52,0,0,99.94547494468853,
"Nu: 0.9, Gamma: 0.99",95317,52,0,0,99.94547494468853,
"Nu: 0.99, Gamma: 0.05",95317,52,0,0,99.94547494468853,
"Nu: 0.99, Gamma: 0.0625",95317,52,0,0,99.94547494468853,
"Nu: 0.99, Gamma: 0.1",95317,52,0,0,99.94547494468853,
"Nu: 0.99, Gamma: 0.2",95317,52,0,0,99.94547494468853,
"Nu: 0.99, Gamma: 0.5",95317,52,0,0,99.94547494468853,
"Nu: 0.99, Gamma: 0.7",95317,52,0,0,99.94547494468853,
"Nu: 0.99, Gamma: 0.9",95317,52,0,0,99.94547494468853,
"Nu: 0.99, Gamma: 0.99",95317,52,0,0,99.94547494468853,
,,,,,,
Target Class: vips,TP,FP,FN,TN,ACC (%),
"Nu: 0.05, Gamma: 0.05",93957,188,0,0,99.80030803547719,
"Nu: 0.05, Gamma: 0.0625",93709,179,248,9,99.54644431462107,
"Nu: 0.05, Gamma: 0.1",93709,179,248,9,99.54644431462107,
"Nu: 0.05, Gamma: 0.2",93709,179,248,9,99.54644431462107,
"Nu: 0.05, Gamma: 0.5",93709,179,248,9,99.54644431462107,
"Nu: 0.05, Gamma: 0.7",93709,179,248,9,99.54644431462107,
"Nu: 0.05, Gamma: 0.9",93709,179,248,9,99.54644431462107,
"Nu: 0.05, Gamma: 0.99",93709,179,248,9,99.54644431462107,
"Nu: 0.0625, Gamma: 0.05",93709,179,248,9,99.54644431462107,
"Nu: 0.0625, Gamma: 0.0625",93709,179,248,9,99.54644431462107,
"Nu: 0.0625, Gamma: 0.1",93709,179,248,9,99.54644431462107,
"Nu: 0.0625, Gamma: 0.2",93709,179,248,9,99.54644431462107,
"Nu: 0.0625, Gamma: 0.5",93709,179,248,9,99.54644431462107,
"Nu: 0.0625, Gamma: 0.7",93709,179,248,9,99.54644431462107,
"Nu: 0.0625, Gamma: 0.9",93709,179,248,9,99.54644431462107,
"Nu: 0.0625, Gamma: 0.99",93709,179,248,9,99.54644431462107,
"Nu: 0.1, Gamma: 0.05",93957,188,0,0,99.80030803547719,
"Nu: 0.1, Gamma: 0.0625",93957,188,0,0,99.80030803547719,
"Nu: 0.1, Gamma: 0.1",93957,188,0,0,99.80030803547719,
"Nu: 0.1, Gamma: 0.2",93709,179,248,9,99.54644431462107,
"Nu: 0.1, Gamma: 0.5",93709,179,248,9,99.54644431462107,
"Nu: 0.1, Gamma: 0.7",93709,179,248,9,99.54644431462107,
"Nu: 0.1, Gamma: 0.9",93709,179,248,9,99.54644431462107,
"Nu: 0.1, Gamma: 0.99",93709,179,248,9,99.54644431462107,
"Nu: 0.2, Gamma: 0.05",93957,188,0,0,99.80030803547719,
"Nu: 0.2, Gamma: 0.0625",93957,188,0,0,99.80030803547719,
"Nu: 0.2, Gamma: 0.1",93957,188,0,0,99.80030803547719,
"Nu: 0.2, Gamma: 0.2",93709,179,248,9,99.54644431462107,
"Nu: 0.2, Gamma: 0.5",93709,179,248,9,99.54644431462107,
"Nu: 0.2, Gamma: 0.7",93709,179,248,9,99.54644431462107,
"Nu: 0.2, Gamma: 0.9",93709,179,248,9,99.54644431462107,
"Nu: 0.2, Gamma: 0.99",93709,179,248,9,99.54644431462107,
"Nu: 0.5, Gamma: 0.05",93709,179,248,9,99.54644431462107,
"Nu: 0.5, Gamma: 0.0625",93709,179,248,9,99.54644431462107,
"Nu: 0.5, Gamma: 0.1",93709,179,248,9,99.54644431462107,
"Nu: 0.5, Gamma: 0.2",93709,179,248,9,99.54644431462107,
"Nu: 0.5, Gamma: 0.5",93709,179,248,9,99.54644431462107,
"Nu: 0.5, Gamma: 0.7",93709,179,248,9,99.54644431462107,
"Nu: 0.5, Gamma: 0.9",93709,179,248,9,99.54644431462107,
"Nu: 0.5, Gamma: 0.99",93709,179,248,9,99.54644431462107,
"Nu: 0.7, Gamma: 0.05",93709,179,248,9,99.54644431462107,
"Nu: 0.7, Gamma: 0.0625",93709,179,248,9,99.54644431462107,
"Nu: 0.7, Gamma: 0.1",93709,179,248,9,99.54644431462107,
"Nu: 0.7, Gamma: 0.2",93709,179,248,9,99.54644431462107,
"Nu: 0.7, Gamma: 0.5",93709,179,248,9,99.54644431462107,
"Nu: 0.7, Gamma: 0.7",93709,179,248,9,99.54644431462107,
"Nu: 0.7, Gamma: 0.9",93709,179,248,9,99.54644431462107,
"Nu: 0.7, Gamma: 0.99",93709,179,248,9,99.54644431462107,
"Nu: 0.9, Gamma: 0.05",93957,188,0,0,99.80030803547719,
"Nu: 0.9, Gamma: 0.0625",93957,188,0,0,99.80030803547719,
"Nu: 0.9, Gamma: 0.1",93957,188,0,0,99.80030803547719,
"Nu: 0.9, Gamma: 0.2",93709,179,248,9,99.54644431462107,
"Nu: 0.9, Gamma: 0.5",93709,179,248,9,99.54644431462107,
"Nu: 0.9, Gamma: 0.7",93709,179,248,9,99.54644431462107,
"Nu: 0.9, Gamma: 0.9",93709,179,248,9,99.54644431462107,
"Nu: 0.9, Gamma: 0.99",93709,179,248,9,99.54644431462107,
"Nu: 0.99, Gamma: 0.05",93957,188,0,0,99.80030803547719,
"Nu: 0.99, Gamma: 0.0625",93957,188,0,0,99.80030803547719,
"Nu: 0.99, Gamma: 0.1",93957,188,0,0,99.80030803547719,
"Nu: 0.99, Gamma: 0.2",93957,188,0,0,99.80030803547719,
"Nu: 0.99, Gamma: 0.5",93957,188,0,0,99.80030803547719,
"Nu: 0.99, Gamma: 0.7",93957,188,0,0,99.80030803547719,
"Nu: 0.99, Gamma: 0.9",93957,188,0,0,99.80030803547719,
"Nu: 0.99, Gamma: 0.99",93957,188,0,0,99.80030803547719,
,,,,,,
Target Class: x264,TP,FP,FN,TN,ACC (%),
"Nu: 0.05, Gamma: 0.05",71149,33,24344,1,74.4815601871722,
"Nu: 0.05, Gamma: 0.0625",76412,33,19081,1,79.99099730966114,
"Nu: 0.05, Gamma: 0.1",82945,34,12548,0,86.8288546693605,
"Nu: 0.05, Gamma: 0.2",91502,28,3991,6,95.79281250327134,
"Nu: 0.05, Gamma: 0.5",95445,34,48,0,99.91416039444346,
"Nu: 0.05, Gamma: 0.7",95470,34,23,0,99.94033100589363,
"Nu: 0.05, Gamma: 0.9",95245,28,248,6,99.71107644959017,
"Nu: 0.05, Gamma: 0.99",95245,28,248,6,99.71107644959017,
"Nu: 0.0625, Gamma: 0.05",65384,27,30109,7,68.452898133512,
"Nu: 0.0625, Gamma: 0.0625",76107,27,19386,7,79.67799679671715,
"Nu: 0.0625, Gamma: 0.1",82900,34,12593,0,86.7817475687502,
"Nu: 0.0625, Gamma: 0.2",91696,34,3797,0,95.98961550137658,
"Nu: 0.0625, Gamma: 0.5",95465,34,28,0,99.93509688360359,
"Nu: 0.0625, Gamma: 0.7",95241,28,252,6,99.70688915175813,
"Nu: 0.0625, Gamma: 0.9",95492,34,1,0,99.96336114396976,
"Nu: 0.0625, Gamma: 0.99",95491,34,2,0,99.96231431951176,
"Nu: 0.1, Gamma: 0.05",65320,27,30173,7,68.38590136819957,
"Nu: 0.1, Gamma: 0.0625",75997,27,19496,7,79.56284610633642,
"Nu: 0.1, Gamma: 0.1",82979,34,12514,0,86.86444670093272,
"Nu: 0.1, Gamma: 0.2",91503,28,3990,6,95.79385932772934,
"Nu: 0.1, Gamma: 0.5",95468,34,25,0,99.93823735697761,
"Nu: 0.1, Gamma: 0.7",95471,34,22,0,99.94137783035163,
"Nu: 0.1, Gamma: 0.9",95245,28,248,6,99.71107644959017,
"Nu: 0.1, Gamma: 0.99",95245,28,248,6,99.71107644959017,
"Nu: 0.2, Gamma: 0.05",65610,33,29883,1,68.68319951427345,
"Nu: 0.2, Gamma: 0.0625",75995,27,19498,7,79.56075245742042,
"Nu: 0.2, Gamma: 0.1",82737,28,12756,6,86.61739612884315,
"Nu: 0.2, Gamma: 0.2",91729,34,3764,0,96.0241607084908,
"Nu: 0.2, Gamma: 0.5",95465,34,28,0,99.93509688360359,
"Nu: 0.2, Gamma: 0.7",95471,34,22,0,99.94137783035163,
"Nu: 0.2, Gamma: 0.9",95493,34,0,0,99.96440796842776,
"Nu: 0.2, Gamma: 0.99",95493,34,0,0,99.96440796842776,
"Nu: 0.5, Gamma: 0.05",65628,33,29865,1,68.70204235451757,
"Nu: 0.5, Gamma: 0.0625",76338,33,19155,1,79.91353229976865,
"Nu: 0.5, Gamma: 0.1",82962,34,12531,0,86.84665068514661,
"Nu: 0.5, Gamma: 0.2",91718,34,3775,0,96.01264563945271,
"Nu: 0.5, Gamma: 0.5",95447,34,46,0,99.91625404335946,
"Nu: 0.5, Gamma: 0.7",95492,34,1,0,99.96336114396976,
"Nu: 0.5, Gamma: 0.9",95244,28,249,6,99.71002962513215,
"Nu: 0.5, Gamma: 0.99",95241,28,252,6,99.70688915175813,
"Nu: 0.7, Gamma: 0.05",65365,27,30128,7,68.43300846880986,
"Nu: 0.7, Gamma: 0.0625",76089,27,19404,7,79.65915395647303,
"Nu: 0.7, Gamma: 0.1",82946,34,12547,0,86.82990149381851,
"Nu: 0.7, Gamma: 0.2",91474,28,4019,6,95.76350141844713,
"Nu: 0.7, Gamma: 0.5",95465,34,28,0,99.93509688360359,
"Nu: 0.7, Gamma: 0.7",95493,34,0,0,99.96440796842776,
"Nu: 0.7, Gamma: 0.9",95223,28,270,6,99.68804631151403,
"Nu: 0.7, Gamma: 0.99",95245,28,248,6,99.71107644959017,
"Nu: 0.9, Gamma: 0.05",70561,34,24932,0,73.8649805814063,
"Nu: 0.9, Gamma: 0.0625",72037,28,23456,6,75.41637442817213,
"Nu: 0.9, Gamma: 0.1",83307,34,12186,0,87.2078051231589,
"Nu: 0.9, Gamma: 0.2",91446,28,4047,6,95.73419033362296,
"Nu: 0.9, Gamma: 0.5",95198,28,295,6,99.66187570006385,
"Nu: 0.9, Gamma: 0.7",95244,28,249,6,99.71002962513215,
"Nu: 0.9, Gamma: 0.9",95489,34,4,0,99.96022067059575,
"Nu: 0.9, Gamma: 0.99",95471,34,22,0,99.94137783035163,
"Nu: 0.99, Gamma: 0.05",95245,28,248,6,99.71107644959017,
"Nu: 0.99, Gamma: 0.0625",95493,34,0,0,99.96440796842776,
"Nu: 0.99, Gamma: 0.1",95493,34,0,0,99.96440796842776,
"Nu: 0.99, Gamma: 0.2",95245,28,248,6,99.71107644959017,
"Nu: 0.99, Gamma: 0.5",95493,34,0,0,99.96440796842776,
"Nu: 0.99, Gamma: 0.7",95493,34,0,0,99.96440796842776,
"Nu: 0.99, Gamma: 0.9",95493,34,0,0,99.96440796842776,
"Nu: 0.99, Gamma: 0.99",95493,34,0,0,99.96440796842776,
,,,,,,
